#,Ticker,Sectors,MarketCap,CapitalSize,Price,OpenWeek,HighWeek,LowWeek,CloseWeek,Position,EPS,PE,Weighting
44,CII,Industrials,7031960025142,Small,29146,29435,29916,27752,29146,2.82,2906,10,4.5
307,VNS,Industrials,2368285800800,Small,34900,35389,36000,34100,34900,-0.75,4608,7.6,3.9
115,HBC,Industrials,2724809422950,Small,28850,29900,30200,28100,28850,-4.31,3751,7.7,3.9
99,FPT,Information Technology,19939118085600,Mid,43400,43900,44200,43000,43400,-5.56,4334,10,3.5
97,FLC,Real Estate,4070687142060,Small,6380,6400,6550,5850,6380,18.04,1448,4.4,3.5
129,HSG,Materials,7583489301965,Small,38585,37116,39662,36920,38585,-1.89,7637,5.1,3.5
126,HPG,Materials,34557873196000,Mid,41000,40200,41900,39600,41000,-6.75,6190,6.6,3.1
306,VNM,Consumer Staples,209299218193800,Large,144200,143300,146500,141900,144200,2.96,6488,22.2,3
245,SSI,Financials,10345372390200,Mid,21550,21300,21950,20950,21550,1.92,2178,9.9,2.5
79,DRC,Consumer Discretionary,4283067373275,Small,36055,38204,38204,35864,36055,-7.16,3432,10.5,2.5
127,HQC,Real Estate,2205522000000,Small,5170,5290,5360,4840,5170,-0.35,1482,3.5,2.5
180,NKG,Materials,1911312590200,Small,38200,37450,38200,35900,38200,-2.89,9455,4,2.5
57,CTD,Industrials,13549068544000,Mid,176000,197000,197900,174000,176000,-7.52,15766,11.2,2.4
29,BMP,Industrials,9149906348160,Small,201192,194958,205843,194958,201192,8.31,14346,14,2.2
175,MWG,Consumer Discretionary,22180235074000,Mid,151000,146000,155000,142000,151000,10.06,10577,14.3,2.2
